date,paidSub,churned
11/11/13,385348,751
11/12/13,385603,845
11/13/13,385038,1757
11/14/13,384436,2081
11/15/13,384043,1985
11/16/13,384509,1144
11/17/13,384856,1027
11/18/13,385374,736
11/19/13,385685,833
11/20/13,385086,1927
11/21/13,384399,2158
11/22/13,384010,2123
11/23/13,384333,1355
11/24/13,384920,1017
11/25/13,385226,826
11/26/13,385172,1028
11/27/13,384602,1852
11/28/13,384096,2009
11/29/13,384602,1159
11/30/13,385034,592
12/1/13,385172,1155
12/2/13,385400,878
12/3/13,385431,957
12/4/13,385016,1680
12/5/13,384077,2163
12/6/13,383529,2079
12/7/13,383680,1214
12/8/13,384034,978
12/9/13,384391,713
12/10/13,384488,829
12/11/13,383768,1837
12/12/13,383066,2027
12/13/13,382547,1917
12/14/13,382575,1390
12/15/13,382995,1036
12/16/13,383182,725
12/17/13,383276,784
12/18/13,382572,1812
12/19/13,382161,1831
12/20/13,381843,1840
12/21/13,381960,1335
12/22/13,382521,912
12/23/13,382768,718
12/24/13,382812,876
12/25/13,382146,1867
12/26/13,382643,894
12/27/13,382168,1392
12/28/13,382092,1621
12/29/13,382607,1039
12/30/13,383249,688
12/31/13,383492,810
1/1/14,382826,1904
1/2/14,383381,1084
1/3/14,382980,1439
1/4/14,382904,1579
1/5/14,383224,1102
1/6/14,383517,754
1/7/14,383565,916
1/8/14,382787,1869
1/9/14,381968,2316
1/10/14,381719,1972
1/11/14,381906,1333
1/12/14,382205,1086
1/13/14,382363,775
1/14/14,382643,891
1/15/14,381683,2199
1/16/14,381446,1777
1/17/14,380858,2002
1/18/14,380991,1459
1/19/14,381451,1090
1/20/14,381664,819
1/21/14,381622,976
1/22/14,380705,2041
1/23/14,379999,2146
1/24/14,379693,1805
1/25/14,379509,1581
1/26/14,379896,1082
1/27/14,379994,854
1/28/14,379906,995
1/29/14,379202,1857
1/30/14,378714,1866
1/31/14,378053,2027
2/1/14,378077,1433
2/2/14,378442,1108
2/3/14,378463,958
2/4/14,378433,897
2/5/14,377733,1872
2/6/14,377155,1877
2/7/14,376608,1820
2/8/14,376480,1585
2/9/14,376843,1058
2/10/14,376878,882
2/11/14,377098,1021
2/12/14,376454,1951
2/13/14,376054,1829
2/14/14,375844,1661
2/15/14,375948,1186
2/16/14,376182,968
2/17/14,376213,864
2/18/14,376353,798
2/19/14,375522,1836
2/20/14,374887,1913
2/21/14,374789,1564
2/22/14,374870,1401
2/23/14,375472,902
2/24/14,375723,749
2/25/14,375759,934
2/26/14,374821,1905
2/27/14,374559,1636
2/28/14,374233,1702
3/1/14,373891,1556
3/2/14,374120,1091
3/3/14,374112,903
3/4/14,373907,948
3/5/14,373133,1635
3/6/14,372435,1948
3/7/14,372571,1557
3/8/14,372619,1445
3/9/14,373004,957
3/10/14,373004,0
3/11/14,372594,1680
3/12/14,372358,1736
3/13/14,372034,1851
3/14/14,372308,1414
3/15/14,372308,0
3/16/14,372747,1987
3/17/14,373100,736
3/18/14,373124,891
3/19/14,372751,1522
3/20/14,372214,1797
3/21/14,372271,1406
3/22/14,372315,1257
3/23/14,372689,925
3/24/14,373251,715
3/25/14,373408,773
3/26/14,372946,1719
3/27/14,372522,1808
3/28/14,371994,1820
3/29/14,372032,1347
3/30/14,372349,952
3/31/14,372646,765
4/1/14,372856,780
4/2/14,372649,1402
4/3/14,372083,1858
4/4/14,371586,1827
4/5/14,371799,1124
4/6/14,371799,0
4/7/14,371799,0
4/8/14,371799,0
4/9/14,371516,3607
4/10/14,371442,1833
4/11/14,370920,1820
4/12/14,370920,0
4/13/14,371335,2073
4/14/14,371667,810
4/15/14,371950,819
4/16/14,371950,0
4/17/14,371156,2939
4/18/14,370341,1985
4/19/14,370582,1348
4/20/14,371058,959
4/21/14,371436,716
4/22/14,371788,563
4/23/14,371265,1680
4/24/14,371265,0
4/25/14,370337,3238
4/26/14,370337,0
4/27/14,370962,2073
4/28/14,370962,0
4/29/14,371574,1577
4/30/14,371014,1752
5/1/14,370777,1733
5/2/14,370532,1671
5/3/14,370300,1689
5/4/14,370733,958
5/5/14,371154,688
5/6/14,371230,852
5/7/14,370663,1674
5/8/14,369983,1988
5/9/14,369867,1643
5/10/14,369961,1306
5/11/14,370373,982
5/12/14,370635,680
5/13/14,370893,764
5/14/14,370248,1952
5/15/14,369989,1761
5/16/14,369497,1769
5/17/14,369592,1333
5/18/14,370072,896
5/19/14,370406,665
5/20/14,370578,727
5/21/14,369889,1722
5/22/14,369301,1980
5/23/14,369078,1651
5/24/14,369060,1364
5/25/14,369570,911
5/26/14,369705,687
5/27/14,369993,458
5/28/14,369429,1329
5/29/14,368682,1906
5/30/14,368398,1863
5/31/14,368398,0
6/1/14,369160,1997
6/2/14,369425,740
6/3/14,369547,814
6/4/14,369041,1677
6/5/14,368731,1921
6/6/14,368798,1813
6/7/14,368817,1398
6/8/14,369348,903
6/9/14,369636,686
6/10/14,369562,899
6/11/14,369072,1783
6/12/14,368494,1900
6/13/14,367890,1944
6/14/14,367890,0
6/15/14,368428,1943
6/16/14,368671,669
6/17/14,368899,702
6/18/14,368899,0
6/19/14,367656,3230
6/20/14,367247,1832
6/21/14,367181,1493
6/22/14,367901,899
6/23/14,368466,649
6/24/14,368605,810
6/25/14,368003,1728
6/26/14,367500,1766
6/27/14,366990,1819
6/28/14,366801,1455
6/29/14,367480,862
6/30/14,367744,620
7/1/14,367832,751
7/2/14,367404,1413
7/3/14,367404,0
7/4/14,365708,3646
7/5/14,365956,1292
7/6/14,366543,527
7/7/14,366888,534
7/8/14,366934,811
7/9/14,366056,1902
7/10/14,365417,1911
7/11/14,364814,1842
7/12/14,364814,0
7/13/14,365189,1937
7/14/14,365428,695
7/15/14,365296,955
7/16/14,364818,1642
7/17/14,363852,2241
7/18/14,363237,2077
7/19/14,363102,1613
7/20/14,363758,913
7/21/14,363978,605
7/22/14,363914,821
7/23/14,363914,0
7/24/14,362535,3359
7/25/14,362533,1698
7/26/14,362480,1374
7/27/14,362870,823
7/28/14,362870,0
7/29/14,362994,1523
7/30/14,362994,0
7/31/14,361106,3723
8/1/14,360588,2127
8/2/14,360785,1338
8/3/14,361192,931
8/4/14,361192,0
8/5/14,360513,1801
8/6/14,360064,2085
8/7/14,360064,0
8/8/14,358628,3610
8/9/14,358817,1351
8/10/14,359253,929
8/11/14,359370,674
8/12/14,359370,0
8/13/14,357901,3103
8/14/14,357482,2078
8/15/14,357609,1343
8/16/14,357679,1182
8/17/14,358093,859
8/18/14,358332,681
8/19/14,358108,1061
8/20/14,357462,1870
8/21/14,356688,2246
8/22/14,356771,1484
8/23/14,356788,1252
8/24/14,356788,0
8/25/14,357251,1586
8/26/14,357251,0
8/27/14,356489,2561
8/28/14,355682,2074
8/29/14,355682,0
8/30/14,355705,2341
8/31/14,356353,795
9/1/14,356532,671
9/2/14,357011,491
9/3/14,356180,1650
9/4/14,355465,2133
9/5/14,354935,1956
9/6/14,355256,1114
9/7/14,355473,981
9/8/14,355755,681
9/9/14,355755,0
9/10/14,354462,2804
9/11/14,354118,1877
9/12/14,354286,1138
9/13/14,354218,1129
9/14/14,354468,854
9/15/14,354617,680
9/16/14,354534,875
9/17/14,353747,1907
9/18/14,353123,2104
9/19/14,353180,1401
9/20/14,353180,0
9/21/14,353299,2034
9/22/14,353336,920
9/23/14,352981,1168
9/24/14,352536,1757
9/25/14,351616,2407
9/26/14,351497,1656
9/27/14,351548,1278
9/28/14,351782,899
9/29/14,351810,746
9/30/14,351632,1024
10/1/14,350627,2323
10/2/14,350611,1795
10/3/14,350331,1614
10/4/14,350223,1257
10/5/14,350619,903
10/6/14,350801,667
10/7/14,350584,1097
10/8/14,349528,2251
10/9/14,349424,1715
10/10/14,349508,1177
